URL_ID,Deskripsi,Harga,Kawasan,Sertifikat,Kamar_Tidur,Kamar_Mandi,Garasi,Luas_Tanah,Luas_Bangunan,Kata_Kunci
https://www.rumah123.com/properti/jakarta-pusat-sawah-besar/rumah-minimalismodern-di-sawah-besar-jakarta-pusat-hos41670221/,Rumah Minimalis.modern di Sawah Besar Jakarta Pusat,"Rp 1,1 Miliar","Sawah Besar, Jakarta Pusat",SHM,3,2,1,LT:  36 m²,LB:  63 m²,"['Rumah', 'Premier', 'Baru Dibangun', 'Dekat Sekolah']"
https://www.rumah123.com/properti/jakarta-pusat-menteng/termurah-rumah-baru-di-matraman-dekat-menteng-hos41006351/,Townhouse Akses LRT Matraman Hi Sudirman,"Rp 1,2 Miliar","Menteng, Jakarta Pusat",SHM,3,3,1,LT:  35 m²,LB:  95 m²,"['Rumah', 'Premier', 'Komplek Perumahan', 'Bebas Banjir', 'Dekat Akses Transportasi', 'Dekat Sekolah']"
https://www.rumah123.com/properti/jakarta-pusat-menteng/rumah-di-menteng-cikditiro-dekat-rs-bunda-cikini-hos39149914/,Turun Harga!! Butuh Cepat Rumah di Menteng,Rp 24 Miliar,"Menteng, Jakarta Pusat",SHM,12,7,2 + 1,LT:  448 m²,LB:  200 m²,"['Rumah', 'Premier', 'Dekat Akses Transportasi']"
https://www.rumah123.com/properti/jakarta-pusat-menteng/rumah-vibes-resort-jagakarsa-nearby-cilandak-hos41793168/,Rumah Vibes Resort Jagakarsa Nearby Cilandak,Rp 32 Miliar,"Menteng, Jakarta Pusat",SHM,12,7,2 + 5,LT:  2138 m²,LB:  1200 m²,"['Rumah', 'Premier', 'Dekat Akses Transportasi']"
https://www.rumah123.com/properti/jakarta-pusat-menteng/cuan-banget-kost-42-kamar-dekat-pn-jakpus-hos41307185/,Smart Investment!! Rumkost 42 Kamar Full,Rp 12 Miliar,"Menteng, Jakarta Pusat",SHM,42,43,2,LT:  332 m²,LB:  800 m²,"['Rumah', 'Premier', 'Dekat Sekolah', 'Dekat Tempat Ibadah']"
https://www.rumah123.com/properti/jakarta-pusat-percetakan-negara/rumah-murah-cantik-lokasi-strategis-di-percetakan-negara-hos41730734/,Rumah Murah Cantik Lokasi Strategis di Percetakan Negara,"Rp 1,25 Miliar","Percetakan Negara, Jakarta Pusat",SHM,2,2,1,LT:  34 m²,LB:  66 m²,"['Rumah', 'Premier', 'Baru Dibangun', 'Komplek Perumahan', 'Bisa Nego', 'Bebas Banjir', 'Dekat Sekolah']"
https://www.rumah123.com/properti/jakarta-pusat-sawah-besar/rumah-mewah-cantik-2lantai-5-menit-staiun-sawahbesar-jakartapusat-hos40745626/,Rumah Mewah Cantik 2Lantai 5 Menit Staiun Sawahbesar Jakartapusat,"Rp 1,25 Miliar","Sawah Besar, Jakarta Pusat",SHM,2,2,1 + 1,LT:  42 m²,LB:  68 m²,"['Rumah', 'Premier', 'Dekat Akses Transportasi', 'Dekat Pusat Perbelanjaan']"
https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/rumah-mewah-murah-cempaka-putih-5-menit-mitra-10-jakarta-pusat-hos40453296/,Rumah Mewah Murah Cempaka Putih 5 Menit Mitra 10 Jakarta Pusat,"Rp 2,53 Miliar","Cempaka Putih, Jakarta Pusat",SHM,3,3,1 + 1,LT:  54 m²,LB:  78 m²,"['Rumah', 'Premier', 'Komplek Perumahan', 'Dekat Akses Transportasi', 'Dekat Sekolah', 'Dekat Fasilitas Kesehatan']"
https://www.rumah123.com/properti/jakarta-pusat-gunung-sahari/ruko-plus-tempat-tinggal-area-komersil-kemayoran-gunung-sahari-hos40675059/,Ruko Plus Tempat Tinggal Area Komersil Kemayoran Gunung Sahari,"Rp 1,7 Miliar","Gunung Sahari, Jakarta Pusat",SHM,4,4,1 + 1,LT:  57 m²,LB:  168 m²,"['Rumah', 'Premier', 'Dekat Akses Transportasi']"
https://www.rumah123.com/properti/jakarta-pusat-menteng/rumah-vibes-villa-di-ampera-kemang-full-furnished-hos41193415/,Superr Murah!! Rumah Furnished Vibes Villa di Ampera Kemang,Rp 27 Miliar,"Menteng, Jakarta Pusat",SHM,7,7,5 + 5,LT:  1335 m²,LB:  800 m²,"['Rumah', 'Turbo', 'Siap Huni', 'Dekat Sekolah']"
https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/rumah-mewah-dan-siap-huni-cempaka-putih-jakarta-pusat-nb-hos40853055/,"Rumah Mewah 3,5 Lantai ±900 M² di Cempaka Putih - Langka di Jakarta Pusat! (Nb)",Rp 13 Miliar,"Cempaka Putih, Jakarta Pusat",SHM,5 + 1,5 + 2,3 + 2,LT:  360 m²,LB:  900 m²,"['Rumah', 'Premier', 'Dekat Sekolah', 'Dekat Fasilitas Kesehatan']"
https://www.rumah123.com/properti/jakarta-pusat-kemayoran/rumah-8-kamar-tidur-10-menit-ke-gerbang-tol-kemayoran-siap-kpr-j45556-hos41617346/,Rumah 8 Kamar Tidur 10 Menit ke Gerbang Tol Kemayoran Siap KPR J-45556,"Rp 8,84 Miliar","Kemayoran, Jakarta Pusat",SHM,8,8,0,LT:  285 m²,LB:  350 m²,"['Rumah', 'Premier', 'Siap Huni', 'Dekat Akses Transportasi', 'Dekat Pusat Perbelanjaan', 'Dekat Sekolah', 'Dekat Fasilitas Kesehatan']"
