URL_ID,Deskripsi,Harga,Kawasan,Sertifikat,Kamar_Tidur,Kamar_Mandi,Garasi,Luas_Tanah,Luas_Bangunan,Kata_Kunci
https://www.rumah123.com/properti/jakarta-selatan-pondok-indah/dijual-cepat-rumah-modern-pondok-indah-rapi-siap-huni-hos39604846/,Dijual Cepat Rumah Modern Pondok Indah Rapi Siap Huni,Rp 16 Miliar,"Pondok Indah, Jakarta Selatan",HGB,5 + 1,4 + 2,1 + 2,LT:  320 m²,LB:  450 m²,"['Rumah', 'Premier', 'Siap Huni', 'Dekat Sekolah']"
https://www.rumah123.com/properti/jakarta-selatan-setiabudi/rumah-murah-11-kmr-di-setiabudi-timur-i-hos40432257/,Rumah Kost 11 Kmr di Setiabudi Timur,"Rp 15,5 Miliar","Setiabudi, Jakarta Selatan",HGB,11,5,2,LT:  404 m²,LB:  450 m²,"['Rumah', 'Premier']"
https://www.rumah123.com/properti/jakarta-selatan-tebet/rumah-lama-asri-di-jl-tebet-barat-raya-tebet-jakarta-selatan-lt-528m2-cash-only-hos38987090/,Rumah Lama Asri di Jl Tebet Barat Raya Tebet Jakarta Selatan LT 528M2 Sangat Murah Good Invest Cash Only,"Rp 9,5 Miliar","Tebet, Jakarta Selatan",HGB,5,4,2 + 2,LT:  528 m²,LB:  200 m²,"['Rumah', 'Premier', 'Lelang']"
https://www.rumah123.com/properti/jakarta-selatan-pejaten/rumah-klasik-di-pejaten-sudah-dibawah-njop-dan-posisi-dipinggir-jalan-hos41759565/,Rumah Klasik di Pejaten Sudah Dibawah NJOP dan Posisi Dipinggir Jalan,Rp 26 Miliar,"Pejaten, Jakarta Selatan",HGB,8,8,2 + 7,LT:  1629 m²,LB:  500 m²,"['Rumah', 'Premier', 'NJOP', 'Siap Huni', 'Bebas Banjir', 'Dekat Sekolah']"
https://www.rumah123.com/properti/jakarta-selatan-kemang/lelang-rumah-besar-buat-usaha-kantor-di-bawah-njop-di-kemang-jakarta-selatan-hos41553524/,Lelang Rumah Besar Buat Usaha Kantor di Bawah NJOP di Kemang Jakarta Selatan,"Rp 23,6 Miliar","Kemang, Jakarta Selatan",HGB,3 + 1,1 + 1,2 + 10,LT:  1495 m²,LB:  1000 m²,"['Rumah', 'Premier', 'NJOP', 'Bebas Banjir', 'Lelang']"
https://www.rumah123.com/properti/jakarta-selatan-pondok-indah/rumah-mewah-siap-huni-hos41183959/,Rumah Mewah Siap Huni,"Rp 21,5 Miliar","Pondok Indah, Jakarta Selatan",HGB,5,4,2 + 1,LT:  473 m²,LB:  412 m²,"['Rumah', 'Premier', 'Siap Huni']"
https://www.rumah123.com/properti/jakarta-selatan-pondok-indah/rumah-bagus-siap-huni-di-gedung-pinang-raya-pondok-indah-hos12848234/,Rumah Bagus Siap Huni di Gedung Pinang Raya Pondok Indah,Rp 17 Miliar,"Pondok Indah, Jakarta Selatan",HGB,5 + 2,4 + 1,0,LT:  320 m²,LB:  300 m²,"['Rumah', 'Premier', 'Siap Huni', 'Bebas Banjir']"
https://www.rumah123.com/properti/jakarta-selatan-pasar-minggu/murah-jatipadang-rumah-siap-huni-dekat-pejaten-pasar-minggu-hos17587232/,Murah Jatipadang Pasar Minggu Rumah Siap Huni Dekat Pejaten dan Simatupang,"Rp 6,75 Miliar","Pasar Minggu, Jakarta Selatan",HGB,5 + 1,3 + 1,1 + 3,LT:  540 m²,LB:  310 m²,"['Rumah', 'Premier', 'Siap Huni', 'Bebas Banjir']"
https://www.rumah123.com/properti/jakarta-selatan-pondok-indah/gedung-pinang-pondok-indah-lokasi-tenang-hos39520698/,Gedung Pinang - Pondok Indah - Lokasi Tenang,Rp 16 Miliar,"Pondok Indah, Jakarta Selatan",HGB,5,4,1 + 1,LT:  300 m²,LB:  320 m²,"['Rumah', 'Premier']"
https://www.rumah123.com/properti/jakarta-selatan-mega-kuningan/rumah-mega-kuningan-hos41775302/,Rumah Mega Kuningan,Rp 21 Miliar,"Mega Kuningan, Jakarta Selatan",HGB,0,0,0,LT:  301 m²,LB:  389 m²,"['Rumah', 'Premier', 'Dekat Sekolah']"
