URL_ID,Deskripsi,Harga,Kawasan,Sertifikat,Kamar_Tidur,Kamar_Mandi,Garasi,Luas_Tanah,Luas_Bangunan,Kata_Kunci
https://www.rumah123.com/properti/jakarta-timur-rawamangun/rumah-murah-di-matraman-dekat-lrt-genjing-hos41723261/,Super Murah!! Rumah Matraman Kayumanis di Hook,"Rp 2,15 Miliar","Rawamangun, Jakarta Timur",HGB,5,3,2 + 2,LT:  203 m²,LB:  170 m²,"['Rumah', 'Premier', 'Bebas Banjir', 'Dekat Akses Transportasi']"
https://www.rumah123.com/properti/jakarta-timur-cipayung/rumah-2-carport-15-menit-ke-rsud-cipayung-siap-kpr-bebas-banjir-j26017-hos40619928/,Rumah 2 Carport 15 Menit ke RSUD Cipayung Siap KPR Bebas Banjir J26017,"Rp 1,72 Miliar","Cipayung, Jakarta Timur",HGB,3,3,0,LT:  134 m²,LB:  250 m²,"['Rumah', 'Premier', 'Komplek Perumahan', 'Bebas Banjir', 'Dekat Akses Transportasi', 'Dekat Pusat Perbelanjaan', 'Dekat Sekolah', 'Dekat Fasilitas Kesehatan']"
https://www.rumah123.com/properti/jakarta-timur-rawamangun/rumahcantikminimalis-hos41727921/,Rumahcantikminimalis,"Rp 1,9 Miliar","Rawamangun, Jakarta Timur",HGB,3,2,1 + 1,LT:  90 m²,LB:  161 m²,"['Rumah', 'Premier', 'Siap Huni', 'Dekat Akses Transportasi']"
https://www.rumah123.com/properti/jakarta-timur-bambu-apus/dijual-rumah-mewah-lt-1250-m2-harga-dibawah-pasar-di-bambu-apus-cipayung-jakarta-timur-hos40990604/,Dijual Rumah Mewah Lt 1250 M2 Harga Dibawah Pasar di Bambu Apus Cipayung Jakarta Timur,Rp 9 Miliar,"Bambu Apus, Jakarta Timur",HGB,5,4,1 + 3,LT:  1250 m²,LB:  1250 m²,"['Rumah', 'Premier', 'Dekat Sekolah', 'Clean & Clear', 'Lelang']"
https://www.rumah123.com/properti/jakarta-timur-cakung/dijual-rumah-baru-cantik-di-metland-menteng-cakung-jakarta-timur-hos18267978/,"Investasi Cerdas! Rumah 4+1 KT + Usaha 2 Lantai di Metland Menteng, 3.5M Nego","Rp 3,5 Miliar","Cakung, Jakarta Timur",HGB,5,4,0,LT:  200 m²,LB:  183 m²,"['Rumah', 'Premier', 'Bisa Nego', 'Siap Huni']"
https://www.rumah123.com/properti/jakarta-timur-rawamangun/rumah-tua-luas-1000m2-di-jl-pemuda-rawamangun-lokasi-super-strategis-boleh-beli-sebagian-hos39394935/,"Rumah Tua Luas 1000m2 Di Jl Pemuda Rawamangun , Lokasi Super Strategis, Boleh Beli Sebagian",Rp 14 Miliar,"Rawamangun, Jakarta Timur",HGB,4,3,4,LT:  1000 m²,LB:  400 m²,"['Rumah', 'Premier', 'Dekat Akses Transportasi', 'Dekat Fasilitas Kesehatan']"
https://www.rumah123.com/properti/jakarta-timur-cibubur/rumah-siap-huni-14-menit-ke-gerbang-tol-nagrak-2-lt-dibantu-kpr-j46118-hos41775442/,Rumah Siap Huni 14 Menit ke Gerbang Tol Nagrak 2 LT Dibantu KPR J46118,Rp 780 Juta,"Cibubur, Jakarta Timur",HGB,3,2,0,LT:  72 m²,LB:  52 m²,"['Rumah', 'Premier', 'Siap Huni', 'Dekat Akses Transportasi', 'Dekat Pusat Perbelanjaan', 'Dekat Sekolah', 'Dekat Fasilitas Kesehatan']"
https://www.rumah123.com/properti/jakarta-timur-pondok-kelapa/rumah-murah-hitung-tanah-billymoon-pondok-kelapa-jakarta-timur-hos40964576/,Rumah Murah Hitung Tanah Billymoon Pondok Kelapa Jakarta Timur,Rp 8 Miliar,"Pondok Kelapa, Jakarta Timur",HGB,6,5,2 + 3,LT:  854 m²,LB:  700 m²,"['Rumah', 'Premier', 'Komplek Perumahan', 'Bebas Banjir', 'Dekat Akses Transportasi', 'Dekat Fasilitas Kesehatan']"
https://www.rumah123.com/properti/jakarta-timur-rawamangun/rumah-mewah-3-lantai-lokasi-rawamangun-jalan-depan-lebar-3-mobil-parkir-luas-untuk-4-mobil-hos40534586/,"Rumah Dijual, Bangunan 3 Lantai Luas Tanah 210m2, Bangunan 320m2, Strategis Di Rawamangun, Hanya 8.5 M, Jalan Depan Lebar 3 Mobil. Parkir Luas Untuk 4 Mobil. Jual Cepat","Rp 7,9 Miliar","Rawamangun, Jakarta Timur",HGB,5,4,2 + 2,LT:  220 m²,LB:  320 m²,"['Rumah', 'Premier', 'Bisa Nego', 'Siap Huni', 'Bebas Banjir', 'Dekat Akses Transportasi', 'Dekat Sekolah', 'Dekat Fasilitas Kesehatan']"
https://www.rumah123.com/properti/jakarta-timur-duren-sawit/di-jual-rumah-komplek-duren-sawit-jakarta-timur-hos41688939/,Di Jual Rumah Komplek Duren Sawit Jakarta Timur,"Rp 1,3 Miliar","Duren Sawit, Jakarta Timur",HGB,4,2,1,LT:  72 m²,LB:  120 m²,"['Rumah', 'Premier', 'Bisa Nego', 'Dekat Landmark']"
https://www.rumah123.com/properti/jakarta-timur-pondok-bambu/rumah-minimalis-di-pondok-bambu-jakarta-timur-hos40317727/,Rumah Minimalis di Pondok Bambu Jakarta Timur,"Rp 2,3 Miliar","Pondok Bambu, Jakarta Timur",HGB,4 + 1,2 + 1,1,LT:  189 m²,LB:  151 m²,"['Rumah', 'Premier', 'Siap Huni', 'Bebas Banjir']"
https://www.rumah123.com/properti/jakarta-timur-bambu-apus/dijual-rumah-mewah-lt-1250-m2-harga-dibawah-pasar-di-bambu-apus-cipayung-jakarta-timur-hos40990265/,Dijual Rumah Mewah LT 1250 M2 Harga Dibawah Pasar di Bambu Apus Cipayung Jakarta Timur,Rp 12 Miliar,"Bambu Apus, Jakarta Timur",HGB,4,4,1 + 3,LT:  1250 m²,LB:  1250 m²,"['Rumah', 'Premier', 'Dekat Sekolah', 'Clean & Clear', 'Lelang']"
https://www.rumah123.com/properti/jakarta-timur-pondok-bambu/rumah-cocokkost-pondok-bambu-jakarta-timur-hos41808816/,Rumah Cocok@Kost Pondok Bambu Jakarta Timur,"Rp 2,3 Miliar","Pondok Bambu, Jakarta Timur",HGB,4 + 1,2 + 1,2,LT:  189 m²,LB:  151 m²,"['Rumah', 'Premier', 'Bisa Nego', 'Siap Huni']"
https://www.rumah123.com/properti/jakarta-timur-pondok-kelapa/rumah-baru-lokasi-strategis-semi-furnished-pondok-kelapa-jakarta-timur-hos39759034/,"Rumah Baru Lokasi Strategis Semi Furnished Pondok Kelapa, Jakarta Timur","Rp 1,9 Miliar","Pondok Kelapa, Jakarta Timur",HGB,2,2,1,LT:  68 m²,LB:  92 m²,"['Rumah', 'Premier', 'Komplek Perumahan', 'Bisa Nego', 'Siap Huni', 'Bebas Banjir', 'Dekat Sekolah']"
https://www.rumah123.com/properti/jakarta-timur-jatinegara/rumah-2lantai-bagus-murah-semi-furnish-di-jatinegara-baru-jakarta-timur-hos41805185/,Rumah 2Lantai Bagus Murah Semi Furnish di Jatinegara Baru Jakarta Timur,"Rp 3,25 Miliar","Jatinegara, Jakarta Timur",HGB,4,3,5,LT:  244 m²,LB:  240 m²,"['Rumah', 'Bebas Banjir', 'Dekat Akses Transportasi', 'Dekat Pusat Perbelanjaan', 'Dekat Sekolah', 'Dekat Fasilitas Kesehatan', 'Dekat Landmark']"
https://www.rumah123.com/properti/jakarta-timur-duren-sawit/rumah-cluster-siap-huni-dekat-agreya-coffe-duren-sawit-hos40922668/,Private Townhouse Duren Sawit Serdang Kalcer,"Rp 1,65 Miliar","Duren Sawit, Jakarta Timur",HGB,3,2,1,LT:  66 m²,LB:  110 m²,"['Rumah', 'Komplek Perumahan', 'Siap Huni', 'Dekat Pusat Perbelanjaan', 'Dekat Landmark']"
https://www.rumah123.com/properti/jakarta-timur-pondok-kelapa/rumah-mewah-2lt-strategis-di-komplek-billymoon-pondok-kelapa-hos39396851/,Rumah Mewah 2Lt Strategis di Komplek Billymoon Pondok Kelapa,Rp 3 Miliar,"Pondok Kelapa, Jakarta Timur",HGB,3 + 1,3 + 1,2,LT:  180 m²,LB:  159 m²,"['Rumah', 'Komplek Perumahan', 'Dekat Akses Transportasi', 'Dekat Fasilitas Kesehatan']"
https://www.rumah123.com/properti/jakarta-timur-raffles-hills/rumah-cantik-di-raffles-hills-cibubur-hos19294769/,Rumah Cantik di Raffles Hills Cibubur,"Rp 2,5 Miliar","Raffles Hills, Jakarta Timur",HGB,3,3,1,LT:  120 m²,LB:  180 m²,"['Rumah', 'Siap Huni', 'Dekat Pusat Perbelanjaan']"
https://www.rumah123.com/properti/jakarta-timur-legenda-wisata/rumah-murah-posisi-hook-2-lantai-rangka-bajaringan-legenda-wisata-cibubur-jakarta-timur-hos39648818/,Rumah Murah Posisi Hook 2 Lantai Rangka Bajaringan Legenda Wisata Cibubur Jakarta Timur,"Rp 1,1 Miliar","Legenda Wisata, Jakarta Timur",HGB,2,3,1,LT:  106 m²,LB:  120 m²,"['Rumah', 'Komplek Perumahan', 'Bebas Banjir', 'Dekat Akses Transportasi']"
https://www.rumah123.com/properti/jakarta-timur-pondok-kelapa/rumah-baru-mewah-design-modern-dlm-perumahan-pondok-kelapa-hos39289719/,Rumah Baru Mewah Design Modern Dlm Perumahan Pondok Kelapa,"Rp 3,2 Miliar","Pondok Kelapa, Jakarta Timur",HGB,3,3,1,LT:  180 m²,LB:  159 m²,"['Rumah', 'Komplek Perumahan', 'Dekat Akses Transportasi', 'Dekat Fasilitas Kesehatan']"
https://www.rumah123.com/properti/jakarta-timur-jakarta-garden-city/dbanyan-jgc-jakarta-garden-city-baru-3-tahunan-hos41190002/,"D'banyan Jgc Jakarta Garden City , Baru 3 Tahunan","Rp 4,6 Miliar","Jakarta Garden City, Jakarta Timur",HGB,4,3,2,LT:  244 m²,LB:  252 m²,"['Rumah', 'Komplek Perumahan']"
