URL_ID,Deskripsi,Harga,Kawasan,Sertifikat,Kamar_Tidur,Kamar_Mandi,Garasi,Luas_Tanah,Luas_Bangunan,Kata_Kunci
https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/rumah-525m2-komplek-old-moneytaman-resort-mediterania-pik-1-hos41569017/,Rumah 525M2 Komplek Old Money-Taman Resort Mediterania Pik 1,Rp 29 Miliar,"Pantai Indah Kapuk, Jakarta Utara",SHM,5,4,0,LT:  525 m²,LB:  400 m²,"['Rumah', 'Premier', 'Dekat Sekolah']"
https://www.rumah123.com/properti/jakarta-utara-sunter/turun-harga-rumah-baru-mewah-3-lantai-huk-at-sunter-agung-fullyfurnish-american-classic-hos18515541/,"Turun Harga, Rumah Baru Mewah, 3 Lantai Huk At Sunter Agung, Fullyfurnish, American Classic","Rp 6,9 Miliar","Sunter, Jakarta Utara",SHM,6 + 1,4 + 1,1 + 2,LT:  194 m²,LB:  400 m²,"['Rumah', 'Premier', 'Bisa Nego']"
https://www.rumah123.com/properti/jakarta-utara-golf-island/termurah-golf-island-8x15-unit-favorit-cluster-concerto-hos40788257/,Rumah Termurah Golf Island 8X15 Unit Favorit Cluster Concerto,"Rp 3,7 Miliar","Golf Island, Jakarta Utara",SHM,3 + 1,3 + 1,2,LT:  120 m²,LB:  155 m²,"['Rumah', 'Premier']"
https://www.rumah123.com/properti/jakarta-utara-sunter/rumah-bagus-minimalis-hos41680496/,Rumah Bagus Minimalis,"Rp 5,5 Miliar","Sunter, Jakarta Utara",SHM,3,3,1 + 2,LT:  174 m²,LB:  350 m²,"['Rumah', 'Premier', 'Komplek Perumahan']"
https://www.rumah123.com/properti/jakarta-utara-sunter/rumah-bagus-25-lantai-hos39731390/,"Rumah Bagus 2,5 Lantai","Rp 4,5 Miliar","Sunter, Jakarta Utara",SHM,3,3,2,LT:  165 m²,LB:  300 m²,"['Rumah', 'Premier', 'Komplek Perumahan']"
https://www.rumah123.com/properti/jakarta-utara-sunter/dijual-rumah-sunter-paradise-10-x18-full-furnised-dijamin-ga-akan-kecewa-unit-bagus-sekali-hos41608370/,Dijual Rumah Sunter Paradise 10 X18 Full Furnised Dijamin Ga Akan Kecewa Unit Bagus Sekali,"Rp 5,5 Miliar","Sunter, Jakarta Utara",SHM,6 + 1,3 + 1,2,LT:  180 m²,LB:  354 m²,"['Rumah', 'Premier', 'Bisa Nego', 'Siap Huni']"
https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/dijual-rumah-11x20m2-sudah-tinggi-anti-banjir-di-janur-elok-hos41089843/,Dijual Rumah 11X20m2 Sudah Tinggi Anti Banjir di Janur Elok,Rp 7 Miliar,"Kelapa Gading, Jakarta Utara",SHM,3 + 1,3 + 1,1 + 2,LT:  220 m²,LB:  275 m²,"['Rumah', 'Premier']"
https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/dijual-murah-harus-terjual-bu-rumah-25-lantai-siap-huni-deket-sekolah-di-gading-arcadia-kelapa-gading-hos39825668/,"Dijual Murah ,Harus Terjual !!.....Bu.... Rumah 2,5 Lantai .....,Siap Huni, Deket Sekolah......., di Gading Arcadia Kelapa Gading","Rp 2,2 Miliar","Kelapa Gading, Jakarta Utara",SHM,3 + 1,2 + 2,2,LT:  96 m²,LB:  117 m²,"['Rumah', 'Premier', 'Bisa Nego', 'Siap Huni', 'Dekat Akses Transportasi', 'Dekat Pusat Perbelanjaan', 'Dekat Sekolah', 'Dekat Fasilitas Kesehatan']"
https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/rumah-di-pik-1-hos41476619/,Rumah di Pik 1,Rp 8 Miliar,"Pantai Indah Kapuk, Jakarta Utara",SHM,5,5,0,LT:  250 m²,LB:  500 m²,"['Rumah', 'Premier']"
https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk-2/rumah-8x15-pik-2-tahap-1-termurah-di-jalan-boulevard-pasti-terjual-bulan-ini-welcome-investor-hos39776041/,Turun Harga Rumah 8X15 Pik 2 Tahap 1 Termurah Pasti Terjual Bulan Ini - Welcome Investor,"Rp 3,9 Miliar","Pantai Indah Kapuk 2, Jakarta Utara",SHM,4 + 1,3 + 1,2,LT:  120 m²,LB:  200 m²,"['Rumah', 'Premier']"
https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/rumah-pik-murah-siap-huni-hook-mewah-cluster-favorit-hos40810691/,Jual Murah Rumah Pantai Indah Kapuk Hitung Tanah Jarang Ada Siap Huni,Rp 25 Miliar,"Pantai Indah Kapuk, Jakarta Utara",SHM,4 + 3,5 + 3,2 + 2,LT:  686 m²,LB:  473 m²,"['Rumah', 'Premier', 'Siap Huni']"
https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/rumah-pantai-indah-kapuk-mewah-murah-4-lantai-electric-car-charging-station-hos41637538/,Rumah Pik Mewah Siap Huni Full Renovasi,"Rp 8,2 Miliar","Pantai Indah Kapuk, Jakarta Utara",SHM,4 + 1,3 + 1,2 + 2,LT:  144 m²,LB:  576 m²,"['Rumah', 'Premier', 'Komplek Perumahan', 'Siap Huni']"
https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/rumah-american-style-pantai-indah-kapuk-kuldesak-siap-huni-hos41539558/,Rumah American Style Pantai Indah Kapuk Kuldesak Siap Huni,Rp 12 Miliar,"Pantai Indah Kapuk, Jakarta Utara",SHM,4 + 2,3 + 2,2 + 2,LT:  270 m²,LB:  185 m²,"['Rumah', 'Premier', 'Siap Huni']"
https://www.rumah123.com/properti/jakarta-utara-sunter/dijual-rumah-cantik-di-lokasi-premier-danau-sunter-full-furnish-hos16056929/,"Dijual Rumah Cantik di Lokasi Premier Danau Sunter, Full Furnish","Rp 8,25 Miliar","Sunter, Jakarta Utara",SHM,4 + 1,5 + 1,1 + 2,LT:  300 m²,LB:  500 m²,"['Rumah', 'Premier', 'Bisa Nego', 'Siap Huni', 'Bebas Banjir']"
https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/dijual-rumah-pelepah-elok-siap-huni-lokasi-premium-bebas-banjir-hos41552864/,"Dijual / 出售 Rumah Cantik Pelepah Elok Siap Huni, Lokasi Premium & Bebas Banjir! 已有 SHM 永久产权证书","Rp 2,99 Miliar","Kelapa Gading, Jakarta Utara",SHM,4 + 1,2 + 1,1,LT:  108 m²,LB:  108 m²,"['Rumah', 'Premier', 'Siap Huni', 'Bebas Banjir']"
https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/rumah-di-pik-1-patung-kuda-laut-hos41477353/,Rumah di Pik 1 Patung Kuda Laut,"Rp 7,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",SHM,5,5,0,LT:  250 m²,LB:  300 m²,"['Rumah', 'Premier']"
https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/termurah-rumah-pik-katamaran-indah-8x25-hadap-utara-hos41658896/,"Termurah Rumah Pik Katamaran Indah 8X25 , Hadap Utara","Rp 6,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",SHM,3 + 1,3 + 1,1 + 2,LT:  200 m²,LB:  350 m²,"['Rumah', 'Premier', 'Baru Renov']"
https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/cash-kpr-rumah-golf-island-pik-8x25-31-kamar-tidur-hos41701574/,Cash / KPR - Rumah Golf Island Pik 8X25 (3+1 Kamar Tidur),"Rp 6,8 Miliar","Pantai Indah Kapuk, Jakarta Utara",SHM,3 + 1,3 + 1,2,LT:  200 m²,LB:  250 m²,"['Rumah', 'Premier']"
https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk-2/cash-kpr-rumah-pik2-6x10-3-lantai-31-kamar-tidur-hos39724250/,"Cash / KPR - Rumah Pik2 6X10 , 3 Lantai (3+1 Kamar Tidur)","Rp 2,5 Miliar","Pantai Indah Kapuk 2, Jakarta Utara",SHM,3 + 1,3 + 1,2,LT:  60 m²,LB:  138 m²,"['Rumah', 'Premier', 'KPR Express']"
